,balance,consumption
0,0.0,600
1,2147.2220985648737,572
2,0.0,498
3,1362.5565275019558,440
4,0.0,450
5,1814.5739522430915,527
6,0.0,622
7,2722.4412161614387,670
8,0.0,642
9,2709.7415300704156,567
10,0.0,509
11,1928.6998013107664,519
12,0.0,597
13,2154.9983951013564,692
14,0.0,740
15,2576.5907756459546,712
16,0.0,637
17,2513.601711716861,579
18,0.0,589
19,2620.74241629765,667
20,0.0,762
21,2946.1154453608065,810
22,0.0,782
23,3822.872432821719,707
24,0.0,649
25,2990.672000052569,659
26,0.0,737
27,3146.2326904964875,832
28,0.0,880
29,2983.191943601829,852
30,0.0,777
31,2168.8601140649193,719
32,0.0,729
33,3553.1589051268584,807
34,0.0,902
35,3467.1088811958098,950
36,0.0,922
37,2295.459689312844,847
38,0.0,789
39,3726.3729364667856,799
40,0.0,877
41,3584.6775820266867,972
42,0.0,1020
43,2755.419764941499,992
44,0.0,917
45,2828.1885268361393,859
46,0.0,869
47,4172.259956398504,947
48,0.0,1042
49,3005.7221306228084,1090
50,0.0,1062
51,3760.5087586167137,987
52,0.0,929
53,2932.244743398082,939
54,0.0,1017
55,2136.7112496902923,1112
56,0.0,1160
57,3316.542419360784,1132
58,0.0,1057
59,2843.3806333141893,999
60,0.0,1009
61,2347.7586911594212,1087
62,0.0,1182
63,2349.336614647994,1230
64,0.0,1202
65,3695.81705177539,1127
66,0.0,1069
67,3564.688996435185,1079
68,0.0,1157
69,2402.77984098591,1252
70,0.0,1300
71,3135.223167107667,1272
72,0.0,1197
73,3158.7823093483175,1139
74,0.0,1149
75,2706.060362090235,1227
76,0.0,1322
77,3910.6368833243023,1369
78,0.0,1342
79,3651.0444907825267,1267
80,0.0,1209
81,2345.3857631566752,1219
82,0.0,1297
83,4163.773272178564,1392
84,0.0,1440
85,4005.650780413547,1412
86,0.0,1337
87,3713.3066007164625,1279
88,0.0,1289
89,2719.18566205398,1367
90,0.0,1462
91,4643.24616706538,1510
92,0.0,1482
93,4045.8124612055776,1407
94,0.0,1349
95,2696.5953046770933,1359
96,0.0,1437
97,3251.02553623523,1532
98,0.0,1580
99,4323.104143421944,1552
100,0.0,1477
101,2546.3206082577262,1419
102,0.0,1429
103,3236.37516298249,1507
104,0.0,1602
105,4510.181767569024,1650
106,0.0,1622
107,4568.453538033005,1547
108,0.0,1489
109,4858.338925599982,1499
110,0.0,1577
111,3253.0910381052367,1672
112,0.0,1720
113,3013.104370121211,1692
114,0.0,1617
115,3265.924105134274,1559
116,0.0,1569
117,3569.167906349354,1647
118,0.0,1742
119,3532.3334746625756,1790
120,0.0,1762
121,3174.951667030805,1687
122,0.0,1629
123,3327.478132224428,1639
124,0.0,1717
