День п/п;Дата;д.н.;Приход;Расход;На складе;Дней пр.;
1;12.01.2016;3;;;52;;
2;13.01.2016;4;;;52;;
3;14.01.2016;5;;;52;;
4;15.01.2016;6;;;52;;
5;16.01.2016;7;;;52;;
6;17.01.2016;1;;;52;;
7;18.01.2016;2;;;52;;
8;19.01.2016;3;;;52;;
9;20.01.2016;4;0;5;52;;
10;21.01.2016;5;;;47;;
11;22.01.2016;6;;;47;;
12;23.01.2016;7;;;47;;
13;24.01.2016;1;;;47;;
14;25.01.2016;2;;;47;;
15;26.01.2016;3;;;47;;
16;27.01.2016;4;;;47;;
17;28.01.2016;5;0;20;47;;
18;29.01.2016;6;;;27;;
19;30.01.2016;7;;;27;;
20;31.01.2016;1;;;27;;
21;01.02.2016;2;;;27;;
22;02.02.2016;3;0;15;27;;
23;03.02.2016;4;;;12;;
24;04.02.2016;5;;;12;;
25;05.02.2016;6;;;12;;
26;06.02.2016;7;;;12;;
27;07.02.2016;1;;;12;;
28;08.02.2016;2;;;12;;
29;09.02.2016;3;;;12;;
30;10.02.2016;4;;;12;;
31;11.02.2016;5;;;12;;
32;12.02.2016;6;;;12;;
33;13.02.2016;7;;;12;;
34;14.02.2016;1;;;12;;
35;15.02.2016;2;0;10;12;;
36;16.02.2016;3;;;2;;
37;17.02.2016;4;;;2;;
38;18.02.2016;5;;;2;;
39;19.02.2016;6;;;2;;
40;20.02.2016;7;;;2;;
41;21.02.2016;1;;;2;;
42;22.02.2016;2;;;2;;
43;23.02.2016;3;;;2;;
44;24.02.2016;4;;;2;;
45;25.02.2016;5;;;2;;
46;26.02.2016;6;;;2;;
47;27.02.2016;7;;;2;;
48;28.02.2016;1;;;2;;
49;29.02.2016;2;;;2;;
50;01.03.2016;3;200;0;2;;
51;02.03.2016;4;0;10;202;;
52;03.03.2016;5;0;5;192;;
53;04.03.2016;6;;;187;;
54;05.03.2016;7;;;187;;
55;06.03.2016;1;;;187;;
56;07.03.2016;2;;;187;;
57;08.03.2016;3;;;187;;
58;09.03.2016;4;;;187;;
59;10.03.2016;5;;;187;;
60;11.03.2016;6;0;50;187;;
61;12.03.2016;7;;;137;;
62;13.03.2016;1;;;137;;
63;14.03.2016;2;;;137;;
64;15.03.2016;3;;;137;;
65;16.03.2016;4;;;137;;
66;17.03.2016;5;;;137;;
67;18.03.2016;6;;;137;;
68;19.03.2016;7;;;137;;
69;20.03.2016;1;;;137;;
70;21.03.2016;2;;;137;;
71;22.03.2016;3;0;10;137;;
72;23.03.2016;4;;;127;;
73;24.03.2016;5;;;127;;
74;25.03.2016;6;;;127;;
75;26.03.2016;7;;;127;;
76;27.03.2016;1;;;127;;
77;28.03.2016;2;;;127;;
78;29.03.2016;3;;;127;;
79;30.03.2016;4;;;127;;
80;31.03.2016;5;;;127;;
81;01.04.2016;6;;;127;;
82;02.04.2016;7;;;127;;
83;03.04.2016;1;;;127;;
84;04.04.2016;2;;;127;;
85;05.04.2016;3;;;127;;
86;06.04.2016;4;;;127;;
87;07.04.2016;5;0;25;127;;
88;08.04.2016;6;;;102;;
89;09.04.2016;7;;;102;;
90;10.04.2016;1;;;102;;
91;11.04.2016;2;0;15;102;;
92;12.04.2016;3;;;87;;
93;13.04.2016;4;;;87;;
94;14.04.2016;5;;;87;;
95;15.04.2016;6;0;20;87;;
96;16.04.2016;7;;;67;;
