ING; №   Накл.;Дата продажи; №  п/п;Артикул+Название;Кол-во;Фирма;Витр;Work;Метка;Учет;Ost_Old;Ost_New;Baza_Old;;;Baza_new;;
1015;15588;09.01.2019;;;1;D+Z;;;бн;;;;;;;;;
2556;15588;09.01.2019;;;5;D+Z;;;бн;;;;;;;;;
2557;15588;09.01.2019;;;5;D+Z;;;бн;;;;;;;;;
2168;15588;09.01.2019;;;1;D+Z;;;бн;;;;;;;;;
2449;15588;09.01.2019;;;1;D+Z;;;бн;;;;;;;;;
1719;15588;09.01.2019;;;2;D+Z;;;бн;;;;;;;;;
1718;15588;09.01.2019;;;2;D+Z;;;бн;;;;;;;;;
4020;15588;09.01.2019;;;5;D+Z;;;бн;;;;;;;;;
4027;15588;09.01.2019;;;5;D+Z;;;бн;;;;;;;;;
4087;15588;09.01.2019;;;5;D+Z;;;бн;;;;;;;;;
4088;15588;09.01.2019;;;5;D+Z;;;бн;;;;;;;;;
4850;15588;09.01.2019;;;5;D+Z;;;бн;;;;;;;;;
4097;15588;09.01.2019;;;5;D+Z;;;бн;;;;;;;;;
4141;15588;09.01.2019;;;5;D+Z;;;бн;;;;;;;;;
4072;15588;09.01.2019;;;5;D+Z;;;бн;;;;;;;;;
4072;15588;09.01.2019;;;5;D+Z;;;бн;;;;;;;;;
4115;15588;09.01.2019;;;5;D+Z;;;бн;;;;;;;;;
4037;15588;09.01.2019;;;5;D+Z;;;бн;;;;;;;;;
4159;15588;09.01.2019;;;5;D+Z;;;бн;;;;;;;;;
4120;15588;09.01.2019;;;5;D+Z;;;бн;;;;;;;;;
4043;15588;09.01.2019;;;5;D+Z;;;бн;;;;;;;;;
3092;15588;09.01.2019;;;1;D+Z;;;бн;;;;;;;;;
2876;15588;09.01.2019;;;1;D+Z;;;бн;;;;;;;;;
2877;15588;09.01.2019;;;1;D+Z;;;бн;;;;;;;;;
2878;15588;09.01.2019;;;1;D+Z;;;бн;;;;;;;;;
2880;15588;09.01.2019;;;3;D+Z;;;бн;;;;;;;;;
1834;15588;09.01.2019;;;5;D+Z;;;бн;;;;;;;;;
1835;15588;09.01.2019;;;2;D+Z;;;бн;;;;;;;;;
1832;15588;09.01.2019;;;2;D+Z;;;бн;;;;;;;;;
2538;15588;09.01.2019;;;2;D+Z;;;бн;;;;;;;;;
2379;15610;11.01.2019;;;5;D+Z;;;бн;;;;;;;;;
2406;15610;11.01.2019;;;3;D+Z;;;бн;;;;;;;;;
1753;15610;11.01.2019;;;2;D+Z;;;бн;;;;;;;;;
1205;15618;14.01.2019;;;5;D+Z;;;бн;;;;;;;;;
1340;15618;14.01.2019;;;5;D+Z;;;бн;;;;;;;;;
944;15618;14.01.2019;;;10;D+Z;;;бн;;;;;;;;;
945;15618;14.01.2019;;;5;D+Z;;;бн;;;;;;;;;
946;15618;14.01.2019;;;10;D+Z;;;бн;;;;;;;;;
947;15618;14.01.2019;;;10;D+Z;;;бн;;;;;;;;;
948;15618;14.01.2019;;;5;D+Z;;;бн;;;;;;;;;
1158;15618;14.01.2019;;;10;D+Z;;;бн;;;;;;;;;
2092;15618;14.01.2019;;;10;D+Z;;;бн;;;;;;;;;
1168;15618;14.01.2019;;;10;D+Z;;;бн;;;;;;;;;
1369;15618;14.01.2019;;;10;D+Z;;;бн;;;;;;;;;
1115;15618;14.01.2019;;;5;D+Z;;;бн;;;;;;;;;
2673;15618;14.01.2019;;;5;D+Z;;;бн;;;;;;;;;
2756;15618;14.01.2019;;;5;D+Z;;;бн;;;;;;;;;
4225;15625;14.01.2019;;;5;D+Z;;;бн;;;;;;;;;
4858;15625;14.01.2019;;;5;D+Z;;;бн;;;;;;;;;
4859;15625;14.01.2019;;;5;D+Z;;;бн;;;;;;;;;
4054;15625;14.01.2019;;;10;D+Z;;;бн;;;;;;;;;
4055;15625;14.01.2019;;;5;D+Z;;;бн;;;;;;;;;
4068;15625;14.01.2019;;;5;D+Z;;;бн;;;;;;;;;
3099;15625;14.01.2019;;;5;D+Z;;;бн;;;;;;;;;
4021;15625;14.01.2019;;;5;D+Z;;;бн;;;;;;;;;
4831;15625;14.01.2019;;;5;D+Z;;;бн;;;;;;;;;
4046;15625;14.01.2019;;;5;D+Z;;;бн;;;;;;;;;
4823;15625;14.01.2019;;;5;D+Z;;;бн;;;;;;;;;
4824;15625;14.01.2019;;;5;D+Z;;;бн;;;;;;;;;
4842;15625;14.01.2019;;;10;D+Z;;;бн;;;;;;;;;
4127;15625;14.01.2019;;;5;D+Z;;;бн;;;;;;;;;
4180;15625;14.01.2019;;;5;D+Z;;;бн;;;;;;;;;
4181;15625;14.01.2019;;;5;D+Z;;;бн;;;;;;;;;
4182;15625;14.01.2019;;;5;D+Z;;;бн;;;;;;;;;
4183;15625;14.01.2019;;;5;D+Z;;;бн;;;;;;;;;
4184;15625;14.01.2019;;;5;D+Z;;;бн;;;;;;;;;
4185;15625;14.01.2019;;;5;D+Z;;;бн;;;;;;;;;
